iter	Passed	Remaining
620	7052	15661
621	7064	15651
622	7074	15635
623	7084	15622
624	7094	15608
625	7106	15597
626	7116	15584
627	7127	15571
628	7138	15560
629	7150	15548
630	7159	15533
631	7170	15520
632	7179	15503
633	7192	15496
634	7201	15479
635	7210	15464
636	7224	15457
637	7233	15442
638	7245	15431
639	7256	15419
640	7266	15405
641	7277	15393
642	7287	15380
643	7299	15369
644	7308	15353
645	7318	15338
646	7328	15324
647	7339	15312
648	7351	15302
649	7360	15287
650	7373	15279
651	7384	15266
652	7393	15250
653	7404	15239
654	7414	15226
655	7422	15208
656	7435	15198
657	7444	15183
658	7455	15171
659	7465	15157
660	7477	15146
661	7486	15132
662	7498	15120
663	7508	15107
664	7522	15100
665	7533	15089
666	7544	15077
667	7553	15061
668	7566	15054
669	7577	15041
670	7588	15029
671	7599	15017
672	7609	15003
673	7618	14988
674	7631	14979
675	7643	14969
676	7653	14957
677	7663	14941
678	7676	14933
679	7685	14918
680	7696	14907
681	7706	14892
682	7717	14881
683	7728	14868
684	7738	14854
685	7748	14840
686	7760	14831
687	7770	14817
688	7781	14805
689	7791	14793
690	7807	14790
691	7819	14780
692	7831	14770
693	7844	14762
694	7854	14747
695	7864	14733
696	7874	14720
697	7886	14711
698	7919	14739
699	7950	14765
700	7971	14772
701	7995	14783
702	8007	14774
703	8020	14764
704	8031	14752
705	8045	14746
706	8060	14742
707	8075	14736
708	8088	14727
709	8099	14715
710	8111	14704
711	8124	14696
712	8136	14687
713	8148	14677
714	8161	14668
715	8172	14656
716	8183	14644
717	8199	14639
718	8212	14631
719	8223	14620
720	8235	14609
721	8248	14599
722	8260	14589
723	8269	14575
724	8282	14565
725	8292	14552
726	8304	14540
727	8314	14527
728	8326	14517
729	8338	14507
730	8349	14495
731	8359	14479
732	8371	14470
733	8382	14457
734	8393	14445
735	8401	14429
736	8414	14419
737	8424	14406
738	8434	14392
739	8447	14383
740	8459	14372
741	8467	14356
742	8479	14345
743	8488	14329
744	8500	14320
745	8511	14307
746	8522	14295
747	8533	14283
748	8543	14269
749	8552	14253
750	8562	14239
751	8573	14228
752	8585	14218
753	8595	14204
754	8607	14193
755	8617	14180
756	8627	14166
757	8638	14154
758	8650	14144
759	8661	14131
760	8672	14120
761	8683	14108
762	8698	14101
763	8708	14088
764	8721	14079
765	8731	14065
766	8742	14054
767	8753	14042
768	8765	14031
769	8776	14019
770	8789	14010
771	8800	13999
772	8811	13986
773	8824	13977
774	8834	13963
775	8846	13953
776	8857	13942
777	8871	13934
778	8880	13918
779	8890	13905
